,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
0,frozenset({'CHIPSET / ASP'}),frozenset({'CPU / MPU'}),0.04411200613732259,0.11074579429009809,0.0053427585073154696,0.12111801242236025,1.093657896435256,0.0004575393499079974,1.0118016050833514,0.08958924970160931
1,frozenset({'CPU / MPU'}),frozenset({'CHIPSET / ASP'}),0.11074579429009809,0.04411200613732259,0.0053427585073154696,0.04824344383968333,1.093657896435256,0.0004575393499079974,1.0043408555219502,0.09630237070463844
2,frozenset({'CPU / MPU'}),frozenset({'LINEAR IC'}),0.11074579429009809,0.2603978300180832,0.007671653241273495,0.06927263730826323,0.2660261696629831,-0.021166311275497077,0.7946496467482478,-0.7562540420124684
3,frozenset({'LINEAR IC'}),frozenset({'CPU / MPU'}),0.2603978300180832,0.11074579429009809,0.007671653241273495,0.02946127946127946,0.2660261696629831,-0.021166311275497077,0.9162480454322319,-0.7886023982515211
4,frozenset({'CPU / MPU'}),frozenset({'LOGIC IC'}),0.11074579429009809,0.12154090635103293,0.005205764699435586,0.047006432459178626,0.3867540062883457,-0.008254379513147983,0.9217891112484748,-0.6406875242828305
5,frozenset({'LOGIC IC'}),frozenset({'CPU / MPU'}),0.12154090635103293,0.11074579429009809,0.005205764699435586,0.04283137962128043,0.38675400628834566,-0.008254379513147983,0.9290465512315415,-0.6434943682716787
6,frozenset({'OTHERS'}),frozenset({'CPU / MPU'}),0.11340347416296784,0.11074579429009809,0.005287960984163516,0.04662962068132399,0.42105093904674984,-0.007270996837270975,0.9327478858168484,-0.6079792424975414
7,frozenset({'CPU / MPU'}),frozenset({'OTHERS'}),0.11074579429009809,0.11340347416296784,0.005287960984163516,0.047748639287481444,0.42105093904674984,-0.007270996837270975,0.9310530416818092,-0.6072656267829454
8,frozenset({'LINEAR IC'}),frozenset({'DISCRETE'}),0.2603978300180832,0.2579045427146693,0.0349060222477944,0.13404882154882153,0.5197613820130552,-0.032251761026911525,0.8569714733948703,-0.5554105063412104
9,frozenset({'DISCRETE'}),frozenset({'LINEAR IC'}),0.2579045427146693,0.2603978300180832,0.0349060222477944,0.13534473600339955,0.5197613820130552,-0.032251761026911525,0.855372309379504,-0.5545793226425179
